diet_type,food_health_preference,taste_preference,preferred_cuisine,allergies,budget_range,location,digestion_preference,user_age,current_weather,meal_time,calorie_preference,suggested_dish
vegetarian,low carb,sweet,Chinese,soy,high,rural,easy,42,humid,breakfast,moderate,Mixed Veg Bowl
vegan,high protein,umami,Mexican,dairy,medium,suburban,moderate,51,cold,lunch,moderate,Mixed Veg Bowl
vegetarian,balanced,spicy,Chinese,dairy,low,urban,moderate,56,cold,dinner,low,Mixed Veg Bowl
vegetarian,balanced,sweet,Indian,none,low,urban,moderate,26,rainy,lunch,high,Kesari Bath
non-vegetarian,high protein,umami,Thai,dairy,low,suburban,moderate,24,cold,lunch,moderate,Mixed Veg Bowl
non-vegetarian,balanced,salty,Mexican,none,medium,urban,heavy,63,humid,dinner,low,Mixed Veg Bowl
vegetarian,balanced,salty,Italian,soy,high,urban,moderate,57,cold,dinner,high,Mixed Veg Bowl
vegetarian,balanced,salty,Indian,dairy,low,urban,moderate,40,sunny,breakfast,high,Mixed Veg Bowl
vegan,high protein,sweet,Indian,soy,high,suburban,easy,18,cold,dinner,moderate,Mixed Veg Bowl
vegetarian,balanced,spicy,Indian,nuts,high,rural,moderate,59,cold,lunch,high,Paneer Butter Masala
non-vegetarian,balanced,sweet,Italian,soy,high,urban,heavy,57,cold,dinner,high,Mixed Veg Bowl
vegetarian,balanced,savory,Mexican,nuts,low,suburban,moderate,26,cold,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Italian,gluten,low,suburban,moderate,32,sunny,dinner,low,Mixed Veg Bowl
non-vegetarian,high protein,savory,Thai,none,medium,suburban,moderate,24,humid,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Italian,nuts,low,rural,easy,62,sunny,lunch,moderate,Mixed Veg Bowl
vegetarian,high protein,spicy,Thai,none,high,rural,heavy,12,rainy,breakfast,high,Green Curry with Veggies
vegan,low fat,savory,Thai,dairy,high,urban,easy,15,hot,breakfast,low,Mixed Veg Bowl
vegan,low carb,umami,Indian,gluten,low,urban,easy,52,cold,dinner,high,Mixed Veg Bowl
vegetarian,low carb,sweet,Chinese,nuts,high,suburban,moderate,60,hot,lunch,moderate,Mixed Veg Bowl
vegan,high protein,umami,Italian,dairy,high,urban,easy,35,humid,breakfast,moderate,Mushroom Risotto
vegetarian,high protein,sweet,Indian,dairy,high,rural,moderate,11,sunny,lunch,moderate,Gulab Jamun
non-vegetarian,balanced,savory,Chinese,soy,medium,suburban,easy,64,sunny,breakfast,high,Mixed Veg Bowl
vegan,balanced,salty,Indian,soy,high,rural,easy,17,rainy,dinner,moderate,Mixed Veg Bowl
vegetarian,low carb,savory,Thai,nuts,high,rural,easy,39,hot,lunch,moderate,Mixed Veg Bowl
vegetarian,low carb,sweet,Mexican,soy,low,suburban,moderate,55,humid,dinner,high,Choco Tacos
vegetarian,low carb,salty,Chinese,nuts,medium,urban,easy,65,rainy,breakfast,low,Soy Sauce Noodles
vegetarian,low carb,savory,Italian,nuts,high,rural,moderate,15,rainy,dinner,moderate,Margherita Pizza
vegan,low carb,spicy,Chinese,none,high,urban,easy,67,hot,breakfast,low,Mixed Veg Bowl
vegetarian,high protein,umami,Indian,soy,high,rural,moderate,15,sunny,lunch,high,Mixed Veg Bowl
vegan,balanced,savory,Indian,soy,high,suburban,easy,13,cold,dinner,moderate,Mixed Veg Bowl
vegetarian,low fat,savory,Chinese,dairy,medium,urban,easy,32,sunny,lunch,low,Mixed Veg Bowl
vegetarian,low carb,spicy,Italian,gluten,high,urban,heavy,40,rainy,breakfast,moderate,Mixed Veg Bowl
vegan,low carb,salty,Mexican,none,high,rural,easy,22,sunny,dinner,low,Mixed Veg Bowl
non-vegetarian,balanced,umami,Chinese,nuts,medium,suburban,easy,47,sunny,breakfast,high,Sweet and Sour Pork
vegetarian,low fat,umami,Italian,gluten,medium,rural,heavy,25,humid,dinner,low,Mixed Veg Bowl
non-vegetarian,high protein,salty,Italian,nuts,low,urban,moderate,21,humid,lunch,moderate,Seafood Risotto
vegetarian,high protein,umami,Indian,gluten,low,urban,heavy,50,hot,lunch,high,Mixed Veg Bowl
non-vegetarian,low carb,salty,Thai,none,low,suburban,moderate,34,rainy,breakfast,high,Shrimp Satay
non-vegetarian,low carb,salty,Thai,none,medium,suburban,easy,50,humid,breakfast,low,Salted Fish Fried Rice
vegetarian,low carb,savory,Indian,gluten,medium,urban,heavy,68,sunny,breakfast,moderate,Mixed Veg Bowl
vegan,low carb,savory,Thai,gluten,low,rural,easy,19,cold,breakfast,high,Mixed Veg Bowl
vegan,balanced,savory,Chinese,dairy,low,rural,easy,49,sunny,breakfast,low,Mixed Veg Bowl
vegan,high protein,salty,Italian,dairy,low,suburban,heavy,59,cold,lunch,low,Mixed Veg Bowl
vegetarian,high protein,sweet,Indian,gluten,high,urban,heavy,26,sunny,lunch,low,Kesari Bath
vegan,balanced,sweet,Italian,soy,low,urban,heavy,11,sunny,breakfast,moderate,Mixed Veg Bowl
vegetarian,low fat,spicy,Thai,soy,low,suburban,easy,35,hot,dinner,moderate,Spicy Thai Noodles
vegetarian,high protein,sweet,Chinese,soy,high,rural,heavy,44,sunny,dinner,moderate,Mixed Veg Bowl
vegan,balanced,savory,Indian,none,medium,urban,moderate,62,hot,breakfast,high,Mixed Veg Bowl
vegan,low fat,savory,Mexican,dairy,high,urban,moderate,63,cold,dinner,low,Mixed Veg Bowl
vegetarian,low fat,savory,Indian,soy,medium,urban,heavy,56,cold,breakfast,high,Mixed Veg Bowl
vegan,balanced,sweet,Thai,nuts,low,urban,heavy,24,hot,lunch,low,Vegan Pad Thai
vegan,balanced,savory,Italian,soy,high,urban,heavy,19,cold,breakfast,low,Vegan Pesto Pasta
vegan,low carb,umami,Mexican,none,high,rural,heavy,14,humid,dinner,high,Mixed Veg Bowl
vegetarian,low carb,sweet,Chinese,none,high,suburban,heavy,57,humid,breakfast,high,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Chinese,soy,high,rural,heavy,35,cold,lunch,low,Mixed Veg Bowl
vegan,high protein,savory,Mexican,none,high,urban,moderate,16,cold,breakfast,low,Mixed Veg Bowl
